ds,y,is_weekend,month,disease_severity,location
2017-10-13,0,0,10,1.5,Ludhiana Central
2017-10-14,0,1,10,1.5,Ludhiana Central
2017-10-15,1,1,10,1.5,Ludhiana Central
2017-10-16,1,0,10,1.5,Ludhiana Central
2017-10-17,1,0,10,1.5,Ludhiana Central
2017-10-18,2,0,10,1.5,Ludhiana Central
2017-10-19,1,0,10,1.5,Ludhiana Central
2017-10-20,0,0,10,1.5,Ludhiana Central
2017-10-21,0,1,10,1.5,Ludhiana Central
2017-10-22,1,1,10,1.5,Ludhiana Central
2017-10-23,2,0,10,1.5,Ludhiana Central
2017-10-24,0,0,10,1.5,Ludhiana Central
2017-10-25,0,0,10,1.5,Ludhiana Central
2017-10-26,0,0,10,1.5,Ludhiana Central
2017-10-27,0,0,10,1.5,Ludhiana Central
2017-10-28,2,1,10,1.5,Ludhiana Central
2017-10-29,1,1,10,1.5,Ludhiana Central
2017-10-30,0,0,10,1.5,Ludhiana Central
2017-10-31,3,0,10,1.5,Ludhiana Central
2017-11-01,1,0,11,1.5,Ludhiana Central
2017-11-02,0,0,11,1.5,Ludhiana Central
2017-11-03,1,0,11,1.5,Ludhiana Central
2017-11-04,4,1,11,1.5,Ludhiana Central
2017-11-05,7,1,11,1.5,Ludhiana Central
2017-11-06,6,0,11,1.5,Ludhiana Central
2017-11-07,8,0,11,1.5,Ludhiana Central
2017-11-08,4,0,11,1.5,Ludhiana Central
2017-11-09,3,0,11,1.4285714285714286,Ludhiana Central
2017-11-10,4,0,11,1.4482758620689655,Ludhiana Central
2017-11-11,10,1,11,1.5,Ludhiana Central
2017-11-12,6,1,11,1.5,Ludhiana Central
2017-11-13,5,0,11,1.5,Ludhiana Central
2017-11-14,5,0,11,1.5,Ludhiana Central
2017-11-15,4,0,11,1.5,Ludhiana Central
2017-11-16,3,0,11,1.5,Ludhiana Central
2017-11-17,3,0,11,1.5,Ludhiana Central
2017-11-18,2,1,11,1.5,Ludhiana Central
2017-11-19,1,1,11,1.5,Ludhiana Central
2017-11-20,1,0,11,1.5,Ludhiana Central
2017-11-21,0,0,11,1.5,Ludhiana Central
2017-11-22,0,0,11,1.5,Ludhiana Central
2017-11-23,0,0,11,1.5,Ludhiana Central
2017-11-24,0,0,11,1.5,Ludhiana Central
2017-11-25,1,1,11,1.5,Ludhiana Central
2017-11-26,0,1,11,1.5,Ludhiana Central
2017-11-27,1,0,11,1.5,Ludhiana Central
2017-11-28,0,0,11,1.5,Ludhiana Central
2017-11-29,0,0,11,1.5,Ludhiana Central
2017-11-30,2,0,11,1.5,Ludhiana Central
2017-12-01,3,0,12,1.5,Ludhiana Central
2017-12-02,4,1,12,1.5,Ludhiana Central
2017-12-03,2,1,12,1.5,Ludhiana Central
2017-12-04,5,0,12,1.5,Ludhiana Central
2017-12-05,4,0,12,1.5,Ludhiana Central
2017-12-06,6,0,12,1.5,Ludhiana Central
2017-12-07,9,0,12,1.5,Ludhiana Central
2017-12-08,5,0,12,1.5,Ludhiana Central
2017-12-09,7,1,12,1.4827586206896552,Ludhiana Central
2017-12-10,9,1,12,1.5,Ludhiana Central
2017-12-11,9,0,12,1.5,Ludhiana Central
2017-12-12,4,0,12,1.4482758620689655,Ludhiana Central
2017-12-13,2,0,12,1.5,Ludhiana Central
2017-12-14,1,0,12,1.5,Ludhiana Central
2017-12-15,1,0,12,1.5,Ludhiana Central
2017-12-16,2,1,12,1.5,Ludhiana Central
2017-12-17,0,1,12,1.5,Ludhiana Central
2017-12-18,1,0,12,1.5,Ludhiana Central
2017-12-19,0,0,12,1.5,Ludhiana Central
2017-12-20,2,0,12,1.5,Ludhiana Central
2017-12-21,2,0,12,1.5,Ludhiana Central
2017-12-22,2,0,12,1.5,Ludhiana Central
2017-12-23,1,1,12,1.5,Ludhiana Central
2017-12-24,2,1,12,1.5,Ludhiana Central
2017-12-25,6,0,12,1.5,Ludhiana Central
2017-12-26,11,0,12,1.5,Ludhiana Central
2017-12-27,5,0,12,1.5,Ludhiana Central
2017-12-28,3,0,12,1.5,Ludhiana Central
2017-12-29,3,0,12,1.5,Ludhiana Central
2017-12-30,3,1,12,1.5,Ludhiana Central
2017-12-31,4,1,12,1.5,Ludhiana Central
2018-01-01,4,0,1,1.3703703703703705,Ludhiana Central
2018-01-02,7,0,1,1.4482758620689655,Ludhiana Central
2018-01-03,8,0,1,1.4482758620689655,Ludhiana Central
2018-01-04,11,0,1,1.5,Ludhiana Central
2018-01-05,3,0,1,1.4074074074074074,Ludhiana Central
2018-01-06,5,1,1,1.5,Ludhiana Central
2018-01-07,4,1,1,1.3928571428571428,Ludhiana Central
2018-01-08,6,0,1,1.4827586206896552,Ludhiana Central
2018-01-09,3,0,1,1.4285714285714286,Ludhiana Central
2018-01-10,4,0,1,1.4482758620689655,Ludhiana Central
2018-01-11,5,0,1,1.5,Ludhiana Central
2018-01-12,6,0,1,1.4827586206896552,Ludhiana Central
2018-01-13,3,1,1,1.4827586206896552,Ludhiana Central
2018-01-14,2,1,1,1.5,Ludhiana Central
2018-01-15,7,0,1,1.4827586206896552,Ludhiana Central
2018-01-16,8,0,1,1.5,Ludhiana Central
2018-01-17,2,0,1,1.4482758620689655,Ludhiana Central
2018-01-18,3,0,1,1.5,Ludhiana Central
2018-01-19,2,0,1,1.5,Ludhiana Central
2018-01-20,10,1,1,1.5,Ludhiana Central
2018-01-21,3,1,1,1.5,Ludhiana Central
2018-01-22,9,0,1,1.5,Ludhiana Central
2018-01-23,2,0,1,1.5,Ludhiana Central
2018-01-24,3,0,1,1.5,Ludhiana Central
2018-01-25,3,0,1,1.5,Ludhiana Central
2018-01-26,3,0,1,1.5,Ludhiana Central
2018-01-27,3,1,1,1.5,Ludhiana Central
2018-01-28,1,1,1,1.5,Ludhiana Central
2018-01-29,1,0,1,1.5,Ludhiana Central
2018-01-30,5,0,1,1.5,Ludhiana Central
2018-01-31,3,0,1,1.5,Ludhiana Central
2018-02-01,12,0,2,1.5,Ludhiana Central
2018-02-02,6,0,2,1.5,Ludhiana Central
2018-02-03,7,1,2,1.5,Ludhiana Central
2018-02-04,0,1,2,1.5,Ludhiana Central
2018-02-05,4,0,2,1.5,Ludhiana Central
2018-02-06,4,0,2,1.5,Ludhiana Central
2018-02-07,7,0,2,1.5,Ludhiana Central
2018-02-08,7,0,2,1.5,Ludhiana Central
2018-02-09,6,0,2,1.4482758620689655,Ludhiana Central
2018-02-10,4,1,2,1.5,Ludhiana Central
2018-02-11,9,1,2,1.5,Ludhiana Central
2018-02-12,5,0,2,1.5,Ludhiana Central
2018-02-13,3,0,2,1.4482758620689655,Ludhiana Central
2018-02-14,7,0,2,1.5,Ludhiana Central
2018-02-15,2,0,2,1.4285714285714286,Ludhiana Central
2018-02-16,7,0,2,1.4827586206896552,Ludhiana Central
2018-02-17,5,1,2,1.5,Ludhiana Central
2018-02-18,4,1,2,1.5,Ludhiana Central
2018-02-19,2,0,2,1.4285714285714286,Ludhiana Central
2018-02-20,9,0,2,1.5,Ludhiana Central
2018-02-21,2,0,2,1.4285714285714286,Ludhiana Central
2018-02-22,5,0,2,1.5,Ludhiana Central
2018-02-23,6,0,2,1.5,Ludhiana Central
2018-02-24,7,1,2,1.5,Ludhiana Central
2018-02-25,2,1,2,1.5,Ludhiana Central
2018-02-26,8,0,2,1.5,Ludhiana Central
2018-02-27,3,0,2,1.4482758620689655,Ludhiana Central
2018-02-28,8,0,2,1.5,Ludhiana Central
2018-03-01,2,0,3,1.5,Ludhiana Central
2018-03-02,8,0,3,1.5,Ludhiana Central
2018-03-03,5,1,3,1.5,Ludhiana Central
2018-03-04,3,1,3,1.4482758620689655,Ludhiana Central
2018-03-05,7,0,3,1.5,Ludhiana Central
2018-03-06,1,0,3,1.5,Ludhiana Central
2018-03-07,0,0,3,1.5,Ludhiana Central
2018-03-08,3,0,3,1.5,Ludhiana Central
2018-03-09,3,0,3,1.5,Ludhiana Central
2018-03-10,3,1,3,1.5,Ludhiana Central
2018-03-11,3,1,3,1.5,Ludhiana Central
2018-03-12,5,0,3,1.5,Ludhiana Central
2018-03-13,5,0,3,1.5,Ludhiana Central
2018-03-14,1,0,3,1.5,Ludhiana Central
2018-03-15,4,0,3,1.5,Ludhiana Central
2018-03-16,4,0,3,1.3928571428571428,Ludhiana Central
2018-03-17,5,1,3,1.5,Ludhiana Central
2018-03-18,4,1,3,1.5,Ludhiana Central
2018-03-19,7,0,3,1.4482758620689655,Ludhiana Central
2018-03-20,5,0,3,1.5,Ludhiana Central
2018-03-21,4,0,3,1.5,Ludhiana Central
2018-03-22,2,0,3,1.5,Ludhiana Central
2018-03-23,2,0,3,1.5,Ludhiana Central
2018-03-24,2,1,3,1.5,Ludhiana Central
2018-03-25,4,1,3,1.5,Ludhiana Central
2018-03-26,6,0,3,1.5,Ludhiana Central
2018-03-27,4,0,3,1.5,Ludhiana Central
2018-03-28,7,0,3,1.5,Ludhiana Central
2018-03-29,1,0,3,1.5,Ludhiana Central
2018-03-30,6,0,3,1.5,Ludhiana Central
2018-03-31,8,1,3,1.5,Ludhiana Central
2018-04-01,7,1,4,1.5,Ludhiana Central
2018-04-02,7,0,4,1.5,Ludhiana Central
