date,location,admission_count,disease_severity,is_weekend,is_holiday,year,month,day,day_of_week,day_of_year,week_of_year,quarter,population,admissions_per_100k
2017-08-09,Ludhiana South,7,1.5,0,0,2017,8,9,2,221,32,3,500000.0,1.4
2017-08-09,Punjab Urban,5,1.5,0,0,2017,8,9,2,221,32,3,500000.0,1.0
2017-08-10,Ludhiana Central,5,1.5,0,0,2017,8,10,3,222,32,3,500000.0,1.0
2017-08-10,Ludhiana South,6,1.5,0,0,2017,8,10,3,222,32,3,500000.0,1.2
2017-08-10,Punjab Urban,7,1.5,0,0,2017,8,10,3,222,32,3,500000.0,1.4
2017-08-11,Ludhiana Central,6,1.5,0,0,2017,8,11,4,223,32,3,500000.0,1.2
2017-08-11,Ludhiana South,9,1.5,0,0,2017,8,11,4,223,32,3,500000.0,1.8
2017-08-11,Punjab Urban,7,1.5,0,0,2017,8,11,4,223,32,3,500000.0,1.4
2017-08-12,Ludhiana Central,5,1.5,1,0,2017,8,12,5,224,32,3,500000.0,1.0
2017-08-12,Ludhiana South,6,1.5,1,0,2017,8,12,5,224,32,3,500000.0,1.2
2017-08-12,Punjab Urban,5,1.4482758620689655,1,0,2017,8,12,5,224,32,3,500000.0,1.0
2017-08-19,Ludhiana Central,0,1.5,1,0,2017,8,19,5,231,33,3,500000.0,0.0
2017-08-19,Ludhiana South,0,1.5,1,0,2017,8,19,5,231,33,3,500000.0,0.0
2017-08-19,Punjab Urban,1,1.5,1,0,2017,8,19,5,231,33,3,500000.0,0.19999999999999998
2017-08-26,Ludhiana Central,0,1.5,1,0,2017,8,26,5,238,34,3,500000.0,0.0
2017-08-26,Ludhiana South,0,1.5,1,0,2017,8,26,5,238,34,3,500000.0,0.0
2017-08-26,Punjab Urban,1,1.5,1,0,2017,8,26,5,238,34,3,500000.0,0.19999999999999998
2017-08-28,Ludhiana Central,1,1.5,0,0,2017,8,28,0,240,35,3,500000.0,0.19999999999999998
2017-08-28,Ludhiana South,0,1.5,0,0,2017,8,28,0,240,35,3,500000.0,0.0
2017-08-28,Punjab Urban,0,1.5,0,0,2017,8,28,0,240,35,3,500000.0,0.0
2017-09-04,Ludhiana Central,5,1.5,0,0,2017,9,4,0,247,36,3,500000.0,1.0
2017-09-04,Ludhiana South,2,1.5,0,0,2017,9,4,0,247,36,3,500000.0,0.39999999999999997
2017-09-04,Punjab Urban,1,1.5,0,0,2017,9,4,0,247,36,3,500000.0,0.19999999999999998
2017-09-05,Ludhiana Central,5,1.4482758620689655,0,0,2017,9,5,1,248,36,3,500000.0,1.0
2017-09-05,Ludhiana South,7,1.5,0,0,2017,9,5,1,248,36,3,500000.0,1.4
2017-09-05,Punjab Urban,3,1.4827586206896552,0,0,2017,9,5,1,248,36,3,500000.0,0.6
2017-09-06,Ludhiana Central,4,1.5,0,0,2017,9,6,2,249,36,3,500000.0,0.7999999999999999
2017-09-06,Ludhiana South,5,1.5,0,0,2017,9,6,2,249,36,3,500000.0,1.0
2017-09-06,Punjab Urban,4,1.5,0,0,2017,9,6,2,249,36,3,500000.0,0.7999999999999999
2017-09-07,Ludhiana Central,5,1.5,0,0,2017,9,7,3,250,36,3,500000.0,1.0
2017-09-07,Ludhiana South,4,1.5,0,0,2017,9,7,3,250,36,3,500000.0,0.7999999999999999
2017-09-07,Punjab Urban,3,1.5,0,0,2017,9,7,3,250,36,3,500000.0,0.6
2017-09-08,Ludhiana Central,1,1.5,0,0,2017,9,8,4,251,36,3,500000.0,0.19999999999999998
